model,datatype,sort_mode,rmse,mae,mape,acc@10,acc@20,acc@30,hidden,embedding,num_head,num_block,stop_epoch,train_time,test_time,batch,lr,epoch,train_mode,time,is_test
RankPETA,order,pnn_idx,13.911308003075963,11.099679946899414,1.0690280199050903,0.5274261603375527,0.8523206751054853,0.9704641350210971,8,64,4,4,58,gatv2,tft,64,0.001,1000,sort,2023-12-02 16:54:57,False
RankPETA,order,pnn_order,12.642485039679329,9.77226448059082,0.8237049579620361,0.6244725738396625,0.9029535864978903,0.9662447257383966,8,64,4,2,74,gcn,tft,64,0.001,1000,sort,2023-12-02 17:19:25,False
RankPETA,order,pnn_order,13.497977211195213,10.641559600830078,0.8743025660514832,0.540084388185654,0.8818565400843882,0.9662447257383966,8,32,2,4,151,gatv2,gru,64,0.001,1000,sort,2023-12-02 18:12:09,False
RankPETA,order,pnn_order,11.917954026334728,9.461007118225098,0.833107054233551,0.5907172995780591,0.9240506329113924,0.9789029535864979,8,32,2,2,58,gatv2,tft,64,0.001,1000,sort,2023-12-02 18:37:24,False
RankPETA,order,pnn_order,14.368210225629724,11.593287467956543,1.131696343421936,0.48523206751054854,0.8565400843881856,0.9704641350210971,8,32,2,4,63,gcn,tft,64,0.001,1000,sort,2023-12-02 19:08:43,False
RankPETA,order,pnn_order,13.237370644028323,10.570313453674316,0.9263412356376648,0.5316455696202531,0.8860759493670886,0.9704641350210971,8,32,4,4,166,gatv2,gru,64,0.001,1000,sort,2023-12-02 19:46:28,False
RankPETA,order,pnn_order,18.54875809864243,15.357004165649414,1.3718746900558472,0.3459915611814346,0.6751054852320675,0.9113924050632911,8,32,4,4,43,gcn,tft,64,0.001,1000,sort,2023-12-02 20:26:05,False
RankPETA,order,pnn_order,13.832372670348578,11.10900592803955,1.0456920862197876,0.5232067510548524,0.8607594936708861,0.9704641350210971,8,32,4,2,62,gatv2,tft,64,0.001,1000,sort,2023-12-02 20:29:22,False
RankPETA,order,pnn_order,11.922826566505147,9.682516098022461,0.8213262557983398,0.5864978902953587,0.919831223628692,0.9831223628691983,8,64,2,4,143,gatv2,gru,64,0.001,1000,sort,2023-12-02 21:09:35,False
RankPETA,order,pnn_order,16.033168744823964,12.815031051635742,1.2384154796600342,0.45147679324894513,0.7890295358649789,0.9409282700421941,8,64,2,4,41,gcn,tft,64,0.001,1000,sort,2023-12-02 21:40:54,False
RankPETA,order,pnn_order,11.431689177722365,9.020330429077148,0.7745647430419922,0.6497890295358649,0.9282700421940928,0.9873417721518988,8,64,2,2,68,gatv2,tft,64,0.001,1000,sort,2023-12-02 22:34:06,False
RankPETA,order,pnn_order,14.565796049333564,11.693540573120117,1.1307936906814575,0.510548523206751,0.8312236286919831,0.9662447257383966,8,64,4,4,36,gcn,tft,64,0.001,1000,sort,2023-12-02 22:46:07,False
RankPETA,order,pnn_order,11.147325381416822,8.763486862182617,0.7174568772315979,0.6455696202531646,0.9240506329113924,0.9873417721518988,8,64,4,4,165,gatv2,gru,64,0.001,1000,sort,2023-12-02 22:46:34,False
RankPETA,order,pnn_order,11.663231116762105,9.252102851867676,0.7863602042198181,0.6329113924050633,0.9367088607594937,0.9789029535864979,8,64,4,2,122,gatv2,tft,64,0.001,1000,sort,2023-12-03 02:28:06,False
RankPETA,order,pnn_order,18.385664355921268,15.043240547180176,1.2876096963882446,0.3755274261603376,0.7046413502109705,0.9282700421940928,8,32,2,4,33,gatv2,tft,64,0.001,1000,sort,2023-12-03 03:31:38,False
RankPETA,order,pnn_order,14.175282868753614,11.167543411254883,1.045978307723999,0.48945147679324896,0.8523206751054853,0.9662447257383966,8,32,4,4,75,gatv2,tft,64,0.001,1000,sort,2023-12-03 05:52:21,False
RankPETA,order,pnn_order,12.620191810468167,9.964506149291992,0.887615978717804,0.5738396624472574,0.9071729957805907,0.9789029535864979,8,64,2,4,54,gatv2,tft,64,0.001,1000,sort,2023-12-03 07:30:49,False
RankPETA,order,pnn_order,19.000762121074004,15.956220626831055,1.4307477474212646,0.3206751054852321,0.6413502109704642,0.9071729957805907,8,64,4,4,26,gatv2,tft,64,0.001,1000,sort,2023-12-03 08:22:05,False
RankPETA,order,pnn_order,12.26913701213174,9.63117790222168,0.8191380500793457,0.6075949367088608,0.919831223628692,0.9831223628691983,8,64,4,2,46,gcn,gru,64,0.001,100,sort,2023-12-05 16:47:49,False
RankPETA,order,pnn_order,17.578353297128597,14.302766799926758,1.271958351135254,0.39662447257383965,0.7257383966244726,0.919831223628692,8,64,4,2,15,gcn,gru,64,0.001,100,sort,2023-12-05 17:21:06,False
RankPETA,order,pnn_order,12.391209938510217,9.608342170715332,0.8051729798316956,0.5949367088607594,0.9071729957805907,0.9746835443037974,8,64,4,2,25,gcn,gru,64,0.001,100,sort,2023-12-05 17:25:33,False
RankPETA,order,pnn_order,14.298387257793381,11.180426597595215,1.0440360307693481,0.4978902953586498,0.8523206751054853,0.9662447257383966,8,64,4,2,26,gcn,gru,64,0.001,100,sort,2023-12-05 17:42:25,False
